pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist,sy_vmag,sy_kmag
TOI-700 e,TOI-700,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),27.80978,0.953,0.818,272.9,3459.0,0.421,0.415,4.809,31.1265,13.151,8.634
Kepler-442 b,Kepler-442,Transit,2015,Kepler,112.3053,1.34,2.36,241.0,4402.0,0.598,0.609,4.673,365.965,15.322,12.488
Wolf 1069 b,Wolf 1069,Radial Velocity,2023,Calar Alto Observatory,15.564,1.08,1.26,250.1,3158.0,0.1813,0.167,4.93,9.58341,13.993,8.095
TOI-2094 b,TOI-2094,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),18.793193,1.9,4.27,276.0,3435.0,0.384,0.425,4.89,50.0248,14.409,9.97
Proxima Cen b,Proxima Cen,Radial Velocity,2016,European Southern Observatory,11.18465,1.02,1.055,218.0,2900.0,0.141,0.1221,5.16372,1.30119,11.01,4.384
Kepler-1649 c,Kepler-1649,Transit,2020,Kepler,19.53527,1.06,1.2,234.0,3240.0,0.2317,0.1977,5.004,92.1913,17.95,12.589
Kepler-1410 b,Kepler-1410,Transit,2016,Kepler,60.866168,1.78,3.82,290.0,4092.0,0.6,0.63,4.67,367.0,16.319,12.767
TOI-715 b,TOI-715,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),19.288004,1.55,3.02,234.0,3075.0,0.24,0.225,5.0,42.4048,16.683,10.917
TOI-2095 c,TOI-2095,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),28.17232,1.33,7.4,297.0,3759.0,0.44,0.44,5.11,41.9176,13.19,8.988
Kepler-69 c,Kepler-69,Transit,2013,Kepler,242.4613,1.71,3.57,299.0,5638.0,0.93,0.81,4.4,730.625,13.866,12.234
TRAPPIST-1 e,TRAPPIST-1,Transit,2017,Multiple Observatories,6.101013,0.92,0.692,249.7,2566.0,0.1192,0.0898,5.2396,12.42988881,17.02,10.296
tau Cet f,tau Cet,Radial Velocity,2017,Multiple Observatories,636.13,1.81,3.93,201.97,5310.0,0.83,0.783,4.52,3.60304,3.49607,1.794
